Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,329.95,332.7,344.9,332.7,343.3,343.1,341.1,45282.0,1544580000000.0,,25798.0,0.5697
2010-01-05,343.1,350.05,350.7,336.0,341.0,340.8,343.86,30972.0,1065000000000.0,,22768.0,0.7351
2010-01-06,340.8,341.0,351.0,335.2,347.85,345.7,341.73,18740.0,640399000000.0,,10913.0,0.5823
2010-01-07,345.7,349.9,349.9,339.0,342.0,343.6,342.33,13493.0,461904000000.0,,9315.0,0.6904
2010-01-08,343.6,344.1,359.0,342.45,348.0,349.85,349.96,30381.0,1063200000000.0,,15564.0,0.5123
2010-01-09,345.68333333333334,348.06666666666666,359.3333333333333,345.46666666666664,351.3333333333333,352.8,351.9033333333333,32950.333333333336,1160526666666.6667,,20000.0,0.5942
2010-01-10,347.7666666666667,352.03333333333336,359.6666666666667,348.48333333333335,354.6666666666667,355.75,353.8466666666667,35519.666666666664,1257853333333.3333,,24436.0,0.6761
2010-01-11,349.85,356.0,360.0,351.5,358.0,358.7,355.79,38089.0,1355180000000.0,,28872.0,0.758
2010-01-12,358.7,367.0,377.4,336.25,344.4,345.2,362.69,215054.0,7799890000000.0,,66668.0,0.31
2010-01-13,345.2,347.4,351.5,324.0,325.4,327.0,333.61,46646.0,1556160000000.0,,21779.0,0.4669
2010-01-14,327.0,330.1,342.0,330.1,337.0,335.75,337.94,24826.0,838963000000.0,,14798.0,0.5961
2010-01-15,335.75,331.0,341.0,331.0,337.0,339.0,337.28,11575.0,390399000000.0,,7613.0,0.6577
2010-01-16,336.8333333333333,334.95,345.26666666666665,332.3333333333333,340.6666666666667,342.48333333333335,340.49333333333334,18106.666666666668,620716000000.0,,10303.0,0.6061666666666666
2010-01-17,337.9166666666667,338.90000000000003,349.53333333333336,333.6666666666667,344.3333333333333,345.96666666666664,343.70666666666665,24638.333333333336,851033000000.0,,12993.0,0.5546333333333333
2010-01-18,339.0,342.85,353.8,335.0,348.0,349.45,346.92,31170.0,1081350000000.0,,15683.0,0.5031
