Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,371.3,374.25,375.0,368.05,371.95,371.1,371.38,408037.0,15153600000000.0,,209869.0,0.5143
2010-01-05,371.1,372.5,381.0,370.55,379.45,379.45,376.54,1259474.0,47424100000000.0,,627620.0,0.4983
2010-01-06,379.45,380.1,382.9,365.0,367.9,368.0,374.83,998080.0,37411400000000.0,,404716.0,0.4055
2010-01-07,368.0,371.9,371.9,359.2,361.0,360.15,362.19,916485.0,33194600000000.0,,484180.0,0.5283
2010-01-08,360.15,363.0,363.0,349.25,351.7,351.75,352.34,1560373.0,54977400000000.0,,802159.0,0.5141
2010-01-09,357.34999999999997,359.26666666666665,362.5,350.1,353.31666666666666,352.9166666666667,353.9733333333333,1518776.3333333333,53746433333333.336,,796243.0,0.5248666666666667
2010-01-10,354.55,355.53333333333336,362.0,350.95,354.93333333333334,354.0833333333333,355.6066666666667,1477179.6666666667,52515466666666.664,,790327.0,0.5356333333333333
2010-01-11,351.75,351.8,361.5,351.8,356.55,355.25,357.24,1435583.0,51284500000000.0,,784411.0,0.5464
2010-01-12,355.25,357.0,373.8,355.0,367.45,367.85,368.4,2262867.0,83364400000000.0,,935688.0,0.4135
2010-01-13,367.85,367.85,379.0,360.1,378.5,377.95,372.06,2016126.0,75012900000000.0,,520348.0,0.2581
2010-01-14,377.95,379.9,383.75,365.6,370.0,370.1,372.17,1940811.0,72231200000000.0,,798884.0,0.4116
2010-01-15,370.1,371.5,373.9,366.15,369.9,369.4,370.37,687333.0,25456500000000.0,,163808.0,0.2383
2010-01-16,369.8666666666667,370.0,375.26666666666665,366.43333333333334,371.93333333333334,371.7833333333333,371.72,711740.0,26463333333333.332,,214379.66666666666,0.2971666666666667
2010-01-17,369.6333333333333,368.5,376.6333333333333,366.71666666666664,373.96666666666664,374.1666666666667,373.07,736147.0,27470166666666.668,,264951.3333333333,0.3560333333333333
2010-01-18,369.4,367.0,378.0,367.0,376.0,376.55,374.42,760554.0,28477000000000.0,,315523.0,0.4149
2010-01-19,376.55,377.0,379.9,370.0,376.0,376.8,374.63,815335.0,30544700000000.0,,411838.0,0.5051
2010-01-20,376.8,378.35,384.9,374.25,380.55,381.0,380.76,2694075.0,102580000000000.0,,1411472.0,0.5239
2010-01-21,381.0,381.4,386.8,366.55,370.0,370.5,378.61,1055745.0,39971700000000.0,,260406.0,0.2467
2010-01-22,370.5,368.75,388.9,355.05,383.7,382.65,373.96,1894439.0,70844500000000.0,,1081892.0,0.5711
2010-01-23,374.55,371.8833333333333,385.31666666666666,355.5,375.21666666666664,375.5,370.01,1968389.6666666667,72773800000000.0,,1026261.3333333334,0.5248666666666667
2010-01-24,378.59999999999997,375.01666666666665,381.7333333333333,355.95,366.73333333333335,368.34999999999997,366.06,2042340.3333333333,74703100000000.0,,970630.6666666666,0.47863333333333336
2010-01-25,382.65,378.15,378.15,356.4,358.25,361.2,362.11,2116291.0,76632400000000.0,,915000.0,0.4324
2010-01-26,371.92499999999995,366.075,369.67499999999995,340.775,345.025,345.7,352.64,1831472.0,64854350000000.0,,833776.5,0.4595
2010-01-27,361.2,354.0,361.2,325.15,331.8,330.2,343.17,1546653.0,53076300000000.0,,752553.0,0.4866
2010-01-28,330.2,335.0,353.0,334.1,345.65,347.35,347.06,2535317.0,87989600000000.0,,989620.0,0.3903
2010-01-29,347.35,332.15,354.0,318.9,350.0,346.8,335.25,1965223.0,65884700000000.0,,750629.0,0.382
2010-01-30,347.1666666666667,336.09999999999997,354.0,324.65,349.51666666666665,347.1,339.50666666666666,1555978.6666666667,52478533333333.336,,555329.6666666666,0.32913333333333333
2010-01-31,346.98333333333335,340.05,354.0,330.4,349.03333333333336,347.4,343.7633333333333,1146734.3333333335,39072366666666.67,,360030.3333333333,0.27626666666666666
2010-02-01,346.8,344.0,354.0,336.15,348.55,347.7,348.02,737490.0,25666200000000.0,,164731.0,0.2234
2010-02-02,347.7,353.0,359.0,337.0,343.7,342.15,349.2,1317103.0,45993000000000.0,,389501.0,0.2957
2010-02-03,342.15,346.95,350.7,343.25,347.0,348.95,347.79,556915.0,19369200000000.0,,136651.0,0.2454
2010-02-04,348.95,340.55,347.75,333.15,337.0,337.15,341.66,862927.0,29482500000000.0,,454126.0,0.5263
2010-02-05,337.15,317.55,342.9,317.55,338.0,337.15,336.59,1068463.0,35963400000000.0,,315064.0,0.2949
2010-02-06,337.15,341.0,342.0,337.15,342.0,339.45,339.17,86050.0,2918530000000.0,,11087.0,0.1288
2010-02-07,338.29999999999995,341.5,343.725,335.025,341.175,340.525,339.58500000000004,278222.0,9455865000000.0,,75305.5,0.2127
2010-02-08,339.45,342.0,345.45,332.9,340.35,341.6,340.0,470394.0,15993200000000.0,,139524.0,0.2966
2010-02-09,341.6,344.0,350.0,340.0,345.75,346.75,347.23,771804.0,26799500000000.0,,276845.0,0.3587
2010-02-10,346.75,347.0,352.75,346.05,347.0,348.1,349.77,948024.0,33159300000000.0,,551245.0,0.5815
2010-02-11,348.1,349.0,354.0,347.2,350.0,348.85,350.43,410074.0,14370200000000.0,,187790.0,0.4579
2010-02-12,348.2875,349.75,356.725,348.4,352.6625,351.9875,352.8075,823580.0,29351550000000.0,,399634.25,0.4688
2010-02-13,348.475,350.5,359.45,349.6,355.325,355.125,355.185,1237086.0,44332900000000.0,,611478.5,0.47969999999999996
2010-02-14,348.6625,351.25,362.17499999999995,350.8,357.98749999999995,358.2625,357.5625,1650592.0,59314250000000.0,,823322.75,0.4905999999999999
2010-02-15,348.85,352.0,364.9,352.0,360.65,361.4,359.94,2064098.0,74295600000000.0,,1035167.0,0.5015
2010-02-16,361.4,362.55,365.1,355.0,362.0,360.7,361.59,1021864.0,36949600000000.0,,394680.0,0.3862
2010-02-17,360.7,362.0,364.0,358.0,361.5,361.8,361.3,402201.0,14531400000000.0,,143150.0,0.3559
2010-02-18,361.8,364.8,364.8,357.1,360.0,360.7,359.88,436827.0,15720300000000.0,,214340.0,0.4907
2010-02-19,360.7,359.1,368.8,355.05,362.9,362.9,364.85,1198170.0,43714800000000.0,,439390.0,0.3667
2010-02-20,361.43333333333334,361.73333333333335,369.78333333333336,357.3666666666667,363.3,363.31666666666666,365.05,1103584.3333333333,40282366666666.664,,395100.0,0.3562
2010-02-21,362.16666666666663,364.3666666666667,370.76666666666665,359.68333333333334,363.7,363.7333333333333,365.25,1008998.6666666666,36849933333333.336,,350810.0,0.3457
2010-02-22,362.9,367.0,371.75,362.0,364.1,364.15,365.45,914413.0,33417500000000.0,,306520.0,0.3352
