Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,305.9,307.0,315.8,306.55,315.05,314.65,313.55,839806.0,26332100000000.0,,288906.0,0.344
2010-01-05,314.65,315.05,318.0,313.2,316.0,315.85,315.53,505408.0,15947400000000.0,,246106.0,0.4869
2010-01-06,315.85,315.85,317.9,310.05,315.5,315.4,314.0,633665.0,19897000000000.0,,322794.0,0.5094
2010-01-07,315.4,313.15,315.0,307.5,310.0,310.45,310.86,382408.0,11887700000000.0,,186823.0,0.4885
2010-01-08,310.45,315.0,318.4,311.1,315.7,315.75,315.66,493557.0,15579500000000.0,,177246.0,0.3591
2010-01-09,312.21666666666664,315.0833333333333,319.59999999999997,312.48333333333335,316.3333333333333,316.78333333333336,317.07,541921.6666666666,17196266666666.666,,219267.0,0.3977
2010-01-10,313.98333333333335,315.1666666666667,320.8,313.8666666666667,316.9666666666667,317.81666666666666,318.48,590286.3333333334,18813033333333.332,,261288.0,0.43629999999999997
2010-01-11,315.75,315.25,322.0,315.25,317.6,318.85,319.89,638651.0,20429800000000.0,,303309.0,0.4749
2010-01-12,318.85,325.1,328.45,315.6,316.8,317.95,317.59,517903.0,16447900000000.0,,228458.0,0.4411
2010-01-13,317.95,318.75,328.1,315.6,324.0,323.7,321.77,947161.0,30476400000000.0,,414943.0,0.4381
2010-01-14,323.7,326.0,331.4,325.0,326.0,325.85,328.09,1029074.0,33762800000000.0,,507811.0,0.4935
2010-01-15,325.85,326.1,328.9,322.2,324.3,324.35,324.74,359548.0,11675800000000.0,,177555.0,0.4938
2010-01-16,325.35,325.7666666666667,328.59999999999997,322.3333333333333,324.7,324.95,324.8333333333333,329537.6666666667,10703780000000.0,,164941.33333333334,0.502
2010-01-17,324.85,325.43333333333334,328.3,322.4666666666667,325.1,325.55,324.9266666666667,299527.3333333333,9731760000000.0,,152327.66666666666,0.5102
2010-01-18,324.35,325.1,328.0,322.6,325.5,326.15,325.02,269517.0,8759740000000.0,,139714.0,0.5184
2010-01-19,326.15,325.95,334.45,316.15,316.3,318.15,326.96,1413043.0,46200200000000.0,,505749.0,0.3579
2010-01-20,318.15,322.7,322.7,311.0,312.0,312.3,315.05,683021.0,21518400000000.0,,347724.0,0.5091
2010-01-21,312.3,312.1,317.1,311.1,313.1,313.55,314.11,497969.0,15641900000000.0,,230982.0,0.4638
2010-01-22,313.55,310.0,316.0,305.55,307.75,308.45,309.24,587495.0,18167900000000.0,,309053.0,0.5261
2010-01-23,311.85,310.3333333333333,314.3333333333333,304.53333333333336,307.1,307.8,307.86,568282.6666666666,17500633333333.334,,316833.6666666667,0.5598333333333333
2010-01-24,310.15,310.6666666666667,312.6666666666667,303.51666666666665,306.45,307.15,306.48,549070.3333333334,16833366666666.666,,324614.3333333333,0.5935666666666667
2010-01-25,308.45,311.0,311.0,302.5,305.8,306.5,305.1,529858.0,16166100000000.0,,332395.0,0.6273
2010-01-26,307.475,308.75,308.925,301.75,303.775,305.075,304.555,485630.5,14792500000000.0,,300962.5,0.61895
2010-01-27,306.5,306.5,306.85,301.0,301.75,303.65,304.01,441403.0,13418900000000.0,,269530.0,0.6106
2010-01-28,303.65,307.0,308.4,299.0,301.65,300.95,304.21,962520.0,29280900000000.0,,535895.0,0.5568
2010-01-29,300.95,300.0,305.6,295.05,301.45,301.35,300.65,697722.0,20977100000000.0,,315794.0,0.4526
2010-01-30,301.0833333333333,300.6666666666667,309.68333333333334,296.03333333333336,306.7,305.95,303.8666666666667,803021.0,24468766666666.668,,338202.6666666667,0.4277
2010-01-31,301.2166666666667,301.3333333333333,313.7666666666667,297.01666666666665,311.95,310.55,307.0833333333333,908320.0,27960433333333.332,,360611.3333333333,0.4028
2010-02-01,301.35,302.0,317.85,298.0,317.2,315.15,310.3,1013619.0,31452100000000.0,,383020.0,0.3779
2010-02-02,315.15,319.5,325.0,310.15,318.55,317.6,318.44,904327.0,28797000000000.0,,334247.0,0.3696
2010-02-03,317.6,320.0,322.0,313.1,316.15,315.85,317.83,712570.0,22647500000000.0,,217894.0,0.3058
2010-02-04,315.85,332.0,332.0,315.85,316.0,316.8,320.04,874797.0,27997300000000.0,,327308.0,0.3742
2010-02-05,316.8,301.55,315.9,301.55,308.0,308.1,311.81,519637.0,16202900000000.0,,191259.0,0.3681
2010-02-06,308.1,309.85,319.6,308.4,317.0,314.65,313.36,141218.0,4425180000000.0,,61285.0,0.434
2010-02-07,311.375,313.425,319.1,308.2,312.5,312.17499999999995,312.515,285494.0,8909890000000.0,,139559.5,0.47045000000000003
2010-02-08,314.65,317.0,318.6,308.0,308.0,309.7,311.67,429770.0,13394600000000.0,,217834.0,0.5069
2010-02-09,309.7,310.5,312.0,307.05,310.7,310.05,309.59,402260.0,12453500000000.0,,183184.0,0.4554
2010-02-10,310.05,312.5,318.45,311.3,318.0,315.9,314.65,621155.0,19544300000000.0,,251556.0,0.405
2010-02-11,315.9,319.9,319.9,312.1,313.9,313.4,314.37,431513.0,13565300000000.0,,147785.0,0.3425
2010-02-12,315.275,316.9625,318.275,310.3625,311.8125,311.54999999999995,312.8075,415393.25,13001225000000.0,,150591.75,0.365175
2010-02-13,314.65,314.025,316.65,308.625,309.725,309.7,311.245,399273.5,12437150000000.0,,153398.5,0.38785000000000003
2010-02-14,314.025,311.0875,315.025,306.8875,307.6375,307.85,309.6825,383153.75,11873075000000.0,,156205.25,0.410525
2010-02-15,313.4,308.15,313.4,305.15,305.55,306.0,308.12,367034.0,11309000000000.0,,159012.0,0.4332
