Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,250.8,253.0,255.0,250.35,254.3,253.65,252.36,1720545.0,43420100000000.0,,1134263.0,0.6592
2010-01-05,253.65,254.8,256.75,252.7,256.05,256.15,254.58,3589075.0,91370200000000.0,,2788472.0,0.7769
2010-01-06,256.15,258.7,258.7,253.6,257.95,256.75,255.29,2509993.0,64077100000000.0,,1776538.0,0.7078
2010-01-07,256.75,257.0,258.5,253.7,256.0,255.95,255.04,1662478.0,42399200000000.0,,985682.0,0.5929
2010-01-08,255.95,255.35,258.5,255.35,256.75,256.5,257.16,1627117.0,41843600000000.0,,870892.0,0.5352
2010-01-09,256.1333333333333,256.06666666666666,258.8333333333333,255.56666666666666,256.65,256.53333333333336,257.3933333333334,1884885.0,48528400000000.0,,1163127.3333333333,0.5994666666666667
2010-01-10,256.31666666666666,256.7833333333333,259.1666666666667,255.78333333333333,256.55,256.56666666666666,257.62666666666667,2142653.0,55213200000000.0,,1455362.6666666665,0.6637333333333333
2010-01-11,256.5,257.5,259.5,256.0,256.45,256.6,257.86,2400421.0,61898000000000.0,,1747598.0,0.728
2010-01-12,256.6,256.75,256.75,249.1,250.15,250.05,251.47,5171367.0,130044000000000.0,,3459370.0,0.6689
2010-01-13,250.05,249.0,251.75,247.0,249.2,248.95,248.76,4158688.0,103453000000000.0,,2957434.0,0.7111
2010-01-14,248.95,250.5,250.9,247.0,248.4,248.15,248.22,4108160.0,101971000000000.0,,2998521.0,0.7299
2010-01-15,248.15,250.05,253.2,247.1,252.9,252.75,250.97,2613277.0,65584900000000.0,,1560634.0,0.5972
2010-01-16,249.68333333333334,250.96666666666667,253.56666666666666,248.06666666666666,252.06666666666666,252.01666666666668,251.22666666666666,2369105.3333333335,59505266666666.664,,1397303.6666666667,0.5879
2010-01-17,251.21666666666667,251.88333333333335,253.93333333333334,249.03333333333333,251.23333333333335,251.28333333333333,251.48333333333335,2124933.6666666665,53425633333333.336,,1233973.3333333333,0.5786
2010-01-18,252.75,252.8,254.3,250.0,250.4,250.55,251.74,1880762.0,47346000000000.0,,1070643.0,0.5693
2010-01-19,250.55,251.4,251.4,248.3,249.6,249.9,249.68,2098542.0,52396700000000.0,,1537894.0,0.7328
2010-01-20,249.9,250.0,251.5,246.25,246.65,247.1,248.7,3477553.0,86485900000000.0,,2391779.0,0.6878
2010-01-21,247.1,247.5,250.15,242.5,243.7,244.5,246.5,3911566.0,96421400000000.0,,2671673.0,0.6829999999999999
2010-01-22,244.5,243.0,253.7,241.25,248.4,249.1,249.3,15419624.0,384407000000000.0,,9838145.0,0.638
2010-01-23,246.03333333333333,245.33333333333334,254.56666666666666,243.35,250.93333333333334,251.1,250.41,12035741.333333334,300633000000000.0,,7780793.666666667,0.6573
2010-01-24,247.56666666666666,247.66666666666666,255.43333333333334,245.45000000000002,253.46666666666667,253.1,251.52,8651858.666666668,216859000000000.0,,5723442.333333334,0.6766
2010-01-25,249.1,250.0,256.3,247.55,256.0,255.1,252.63,5267976.0,133085000000000.0,,3666091.0,0.6959
2010-01-26,252.1,251.75,257.675,250.275,254.9,255.5,254.97,8558961.5,218995500000000.0,,6192273.0,0.7158
2010-01-27,255.1,253.5,259.05,253.0,253.8,255.9,257.31,11849947.0,304906000000000.0,,8718455.0,0.7357
2010-01-28,255.9,256.7,257.0,248.55,255.0,254.25,253.79,6534392.0,165836000000000.0,,4062927.0,0.6218
2010-01-29,254.25,253.5,256.75,249.1,250.3,250.15,251.51,5255552.0,132184000000000.0,,3231828.0,0.6149
2010-01-30,252.88333333333333,252.33333333333334,255.35,247.96666666666667,249.28333333333333,248.93333333333334,250.3033333333333,4905693.0,122877000000000.0,,3069477.3333333335,0.6274666666666666
2010-01-31,251.51666666666668,251.16666666666666,253.95000000000002,246.83333333333331,248.26666666666668,247.71666666666667,249.09666666666666,4555834.0,113570000000000.0,,2907126.6666666665,0.6400333333333333
2010-02-01,250.15,250.0,252.55,245.7,247.25,246.5,247.89,4205975.0,104263000000000.0,,2744776.0,0.6526
2010-02-02,246.5,250.05,250.05,243.05,244.05,244.4,244.94,3607647.0,88365300000000.0,,1923476.0,0.5332
2010-02-03,244.4,245.0,254.85,243.5,253.45,252.6,249.57,4629393.0,115537000000000.0,,2822743.0,0.6097
2010-02-04,252.6,252.0,254.75,249.6,252.55,253.35,253.31,4038562.0,102300000000000.0,,2925543.0,0.7244
2010-02-05,253.35,252.0,253.3,247.0,248.0,248.35,249.49,6205505.0,154819000000000.0,,4660947.0,0.7511
2010-02-06,248.35,248.0,249.6,247.2,247.85,248.05,248.07,159006.0,3944460000000.0,,45595.0,0.2868
2010-02-07,248.2,248.0,248.89999999999998,243.95,246.75,246.7,246.27499999999998,3981230.0,97363730000000.0,,2838550.5,0.50425
2010-02-08,248.05,248.0,248.2,240.7,245.65,245.35,244.48,7803454.0,190783000000000.0,,5631506.0,0.7217
2010-02-09,245.35,245.4,246.8,242.75,242.8,243.9,244.56,4027137.0,98488500000000.0,,2923721.0,0.726
2010-02-10,243.9,244.7,246.0,242.1,244.5,243.9,243.78,2853024.0,69550800000000.0,,1683732.0,0.5902
2010-02-11,243.9,245.05,247.9,244.8,247.25,247.15,246.44,2317543.0,57113000000000.0,,1432473.0,0.6181
2010-02-12,244.7125,245.91250000000002,248.425,244.875,247.4375,247.7,246.76999999999998,2278802.25,56229750000000.0,,1438857.75,0.632125
2010-02-13,245.525,246.775,248.95,244.95,247.625,248.25,247.1,2240061.5,55346500000000.0,,1445242.5,0.64615
2010-02-14,246.3375,247.6375,249.475,245.025,247.8125,248.8,247.43,2201320.75,54463250000000.0,,1451627.25,0.660175
2010-02-15,247.15,248.5,250.0,245.1,248.0,249.35,247.76,2162580.0,53580000000000.0,,1458012.0,0.6742
2010-02-16,249.35,250.75,251.5,248.1,250.55,250.15,249.87,2040976.0,50998600000000.0,,1420635.0,0.6961
2010-02-17,250.15,250.5,252.7,249.45,251.4,251.75,251.16,2629716.0,66048800000000.0,,1561422.0,0.5938
2010-02-18,251.75,252.2,252.75,246.5,248.35,248.25,249.42,1335801.0,33317900000000.0,,640344.0,0.4794
2010-02-19,248.25,249.3,250.4,245.8,248.75,248.5,248.86,2001243.0,49803400000000.0,,923952.0,0.4617
2010-02-20,248.33333333333334,249.45000000000002,250.51666666666668,245.9,248.21666666666667,248.2,248.66,2058580.3333333333,51186366666666.664,,1074153.3333333333,0.5186333333333333
2010-02-21,248.41666666666666,249.6,250.63333333333333,246.0,247.68333333333334,247.9,248.46,2115917.6666666665,52569333333333.336,,1224354.6666666667,0.5755666666666667
2010-02-22,248.5,249.75,250.75,246.1,247.15,247.6,248.26,2173255.0,53952300000000.0,,1374556.0,0.6325
2010-02-23,247.6,247.6,249.95,245.8,249.0,249.25,247.84,2401720.0,59524600000000.0,,1636479.0,0.6814
2010-02-24,249.25,248.35,250.45,246.8,248.2,247.65,248.82,2847872.0,70860400000000.0,,2128804.0,0.7475
2010-02-25,247.65,248.9,249.5,245.7,247.65,247.6,247.48,4770544.0,118063000000000.0,,2794233.0,0.5857
2010-02-26,247.6,248.5,252.4,228.8,233.5,232.25,237.81,23354214.0,555390000000000.0,,15168110.0,0.6495
2010-02-27,243.7625,245.15,250.35,230.35000000000002,235.625,234.675,238.17000000000002,19938928.75,474518250000000.0,,13110699.0,0.666075
2010-02-28,239.925,241.8,248.3,231.9,237.75,237.1,238.53,16523643.5,393646500000000.0,,11053288.0,0.68265
2010-03-01,236.0875,238.45,246.25,233.45,239.875,239.52499999999998,238.89,13108358.25,312774750000000.0,,8995877.0,0.699225
2010-03-02,232.25,235.1,244.2,235.0,242.0,241.95,239.25,9693073.0,231903000000000.0,,6938466.0,0.7158
2010-03-03,241.95,242.5,246.25,238.35,245.6,243.7,241.78,4350568.0,105186000000000.0,,2801349.0,0.6439
2010-03-04,243.7,246.9,247.0,243.0,245.55,246.05,245.22,4290391.0,105209000000000.0,,2586492.0,0.6029
2010-03-05,246.05,247.0,247.0,243.0,244.75,244.75,244.68,2764279.0,67636100000000.0,,1924794.0,0.6963
2010-03-06,245.61666666666667,246.58333333333334,248.65,243.83333333333334,246.83333333333334,246.91666666666666,246.27,4341055.666666667,107409066666666.66,,3102644.0,0.7069666666666666
2010-03-07,245.18333333333334,246.16666666666666,250.29999999999998,244.66666666666666,248.91666666666666,249.08333333333334,247.85999999999999,5917832.333333334,147182033333333.3,,4280494.0,0.7176333333333333
2010-03-08,244.75,245.75,251.95,245.5,251.0,251.25,249.45,7494609.0,186955000000000.0,,5458344.0,0.7283
2010-03-09,251.25,251.75,253.75,249.6,250.15,251.05,251.96,3181614.0,80162500000000.0,,1884416.0,0.5923
2010-03-10,251.05,252.75,255.25,250.35,253.35,254.25,253.78,3987304.0,101188000000000.0,,2775800.0,0.6962
2010-03-11,254.25,254.0,257.9,251.6,256.9,255.65,254.41,2916294.0,74193600000000.0,,1947667.0,0.6679
2010-03-12,255.65,257.0,260.4,255.25,258.5,258.45,258.29,5583817.0,144225000000000.0,,3904675.0,0.6993
2010-03-13,256.5833333333333,257.45,260.8333333333333,256.28333333333336,259.0,258.75,258.77333333333337,5428879.0,140470000000000.0,,3883337.0,0.7163
2010-03-14,257.51666666666665,257.90000000000003,261.26666666666665,257.31666666666666,259.5,259.05,259.25666666666666,5273941.0,136715000000000.0,,3861999.0,0.7333
2010-03-15,258.45,258.35,261.7,258.35,260.0,259.35,259.74,5119003.0,132960000000000.0,,3840661.0,0.7503
2010-03-16,259.35,260.2,260.95,254.25,259.6,259.8,257.56,2493412.0,64219600000000.0,,1418458.0,0.5689
2010-03-17,259.8,259.8,264.4,258.65,262.9,262.85,262.11,4045785.0,106044000000000.0,,2559433.0,0.6326
2010-03-18,262.85,263.0,264.7,258.7,259.95,261.25,260.96,2163901.0,56469900000000.0,,1183032.0,0.5467
2010-03-19,261.25,260.5,263.25,259.15,260.75,261.3,261.55,2575640.0,67364900000000.0,,1443455.0,0.5604
2010-03-20,261.26666666666665,260.1166666666667,262.8,258.55,260.8666666666667,261.40000000000003,261.17333333333335,2706986.6666666665,70688433333333.33,,1595283.0,0.5867333333333333
2010-03-21,261.28333333333336,259.73333333333335,262.34999999999997,257.95,260.98333333333335,261.5,260.7966666666667,2838333.3333333335,74011966666666.67,,1747111.0,0.6130666666666666
