Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,264.8,264.8,266.2,264.1,264.85,264.7,264.89,668858.0,17717400000000.0,,461681.0,0.6903
2010-01-05,264.7,265.75,266.4,262.5,263.3,263.85,263.83,1392726.0,36744000000000.0,,890136.0,0.6391
2010-01-06,263.85,264.75,266.0,262.6,265.35,265.35,264.45,1682107.0,44482600000000.0,,1250492.0,0.7434
2010-01-07,265.35,265.1,267.25,264.15,264.85,264.8,265.42,2723548.0,72289100000000.0,,1860219.0,0.6829999999999999
2010-01-08,264.8,265.1,267.0,264.15,266.6,265.95,265.12,4000986.0,106076000000000.0,,3528095.0,0.8818
2010-01-09,265.18333333333334,265.6,267.45,264.6333333333333,266.40000000000003,266.0,265.75666666666666,3417814.3333333335,90757733333333.33,,2930795.3333333335,0.8449
2010-01-10,265.56666666666666,266.1,267.90000000000003,265.1166666666667,266.2,266.05,266.3933333333333,2834642.666666667,75439466666666.67,,2333495.666666667,0.808
2010-01-11,265.95,266.6,268.35,265.6,266.0,266.1,267.03,2251471.0,60121200000000.0,,1736196.0,0.7711
2010-01-12,266.1,266.0,266.75,260.55,262.25,262.15,262.76,3826930.0,100555000000000.0,,3065321.0,0.8009999999999999
2010-01-13,262.15,262.0,263.75,260.75,262.5,262.5,262.24,1917571.0,50286700000000.0,,1438488.0,0.7502
2010-01-14,262.5,262.6,263.6,255.3,256.3,256.05,258.14,3583983.0,92518700000000.0,,2520634.0,0.7033
2010-01-15,256.05,257.75,258.75,255.9,256.0,256.4,257.05,4361271.0,112107000000000.0,,3677734.0,0.8433
2010-01-16,256.1666666666667,257.3333333333333,258.6166666666667,255.45000000000002,256.3333333333333,256.7,256.61333333333334,3270296.666666667,84015633333333.33,,2661819.3333333335,0.7551333333333333
2010-01-17,256.2833333333333,256.9166666666667,258.48333333333335,255.0,256.6666666666667,257.0,256.1766666666667,2179322.3333333335,55924266666666.664,,1645904.6666666667,0.6669666666666667
2010-01-18,256.4,256.5,258.35,254.55,257.0,257.3,255.74,1088348.0,27832900000000.0,,629990.0,0.5788
2010-01-19,257.3,257.75,257.75,254.6,255.05,255.45,255.66,1122943.0,28708800000000.0,,722987.0,0.6438
2010-01-20,255.45,256.0,258.6,253.5,258.0,257.8,255.79,2198874.0,56244400000000.0,,1719695.0,0.7821
2010-01-21,257.8,258.0,261.1,255.65,256.55,256.75,258.79,3093875.0,80067600000000.0,,2517812.0,0.8138
2010-01-22,256.75,253.0,259.15,251.95,255.7,257.95,256.96,5117085.0,131488000000000.0,,4367929.0,0.8536
2010-01-23,257.15,254.9,260.95,253.13333333333333,258.55,259.95,258.63666666666666,4863097.666666667,125691333333333.33,,4133405.6666666665,0.8495333333333334
2010-01-24,257.55,256.8,262.75,254.31666666666666,261.4,261.95,260.31333333333333,4609110.333333333,119894666666666.67,,3898882.3333333335,0.8454666666666667
2010-01-25,257.95,258.7,264.55,255.5,264.25,263.95,261.99,4355123.0,114098000000000.0,,3664359.0,0.8414
