Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,1423.35,1425.0,1449.0,1407.2,1420.1,1421.5,1420.54,24544.0,3486590000000.0,,10302.0,0.4197
2010-01-05,1421.5,1449.0,1462.0,1424.0,1447.5,1450.65,1449.17,64133.0,9293980000000.0,,22608.0,0.3525
2010-01-06,1450.65,1471.0,1488.0,1465.0,1469.8,1474.0,1475.48,65925.0,9727100000000.0,,34939.0,0.53
2010-01-07,1474.0,1465.0,1533.0,1465.0,1508.8,1510.65,1509.14,160917.0,24284700000000.0,,34715.0,0.2157
2010-01-08,1510.65,1525.0,1525.0,1456.55,1498.0,1496.7,1497.88,23912.0,3581730000000.0,,6792.0,0.284
2010-01-09,1506.0,1523.3333333333333,1523.3333333333333,1464.0,1493.5666666666666,1492.6666666666667,1497.2666666666667,22712.666666666668,3400836666666.6665,,7124.333333333333,0.3171333333333333
2010-01-10,1501.3500000000001,1521.6666666666667,1521.6666666666667,1471.45,1489.1333333333334,1488.6333333333332,1496.6533333333334,21513.333333333332,3219943333333.3335,,7456.666666666667,0.35026666666666667
2010-01-11,1496.7,1520.0,1520.0,1478.9,1484.7,1484.6,1496.04,20314.0,3039050000000.0,,7789.0,0.3834
2010-01-12,1484.6,1504.9,1504.9,1474.0,1478.0,1480.8,1490.98,19693.0,2936190000000.0,,10337.0,0.5249
2010-01-13,1480.8,1480.0,1491.0,1460.0,1465.25,1469.3,1471.59,26264.0,3864980000000.0,,10902.0,0.4151
2010-01-14,1469.3,1484.5,1524.9,1477.0,1520.0,1517.3,1509.02,56431.0,8515560000000.0,,17282.0,0.3063
2010-01-15,1517.3,1520.0,1529.9,1496.6,1512.1,1515.65,1516.45,32970.0,4999730000000.0,,10322.0,0.3131
2010-01-16,1516.75,1523.0,1529.6000000000001,1493.0666666666666,1508.7333333333333,1512.3666666666668,1514.0566666666666,25966.333333333332,3934800000000.0,,7785.333333333334,0.2843333333333333
2010-01-17,1516.2,1526.0,1529.3,1489.5333333333333,1505.3666666666666,1509.0833333333333,1511.6633333333334,18962.666666666664,2869870000000.0,,5248.666666666667,0.25556666666666666
2010-01-18,1515.65,1529.0,1529.0,1486.0,1502.0,1505.8,1509.27,11959.0,1804940000000.0,,2712.0,0.2268
2010-01-19,1505.8,1476.6,1568.0,1411.0,1531.0,1534.15,1550.6,112559.0,17453400000000.0,,14946.0,0.1328
2010-01-20,1534.15,1547.0,1580.0,1536.0,1555.0,1555.55,1553.95,127497.0,19812400000000.0,,61251.0,0.4804
2010-01-21,1555.55,1556.5,1559.7,1508.0,1529.0,1524.1,1535.94,43412.0,6667840000000.0,,24445.0,0.5631
2010-01-22,1524.1,1495.0,1528.9,1436.0,1520.05,1520.65,1493.89,27865.0,4162720000000.0,,7336.0,0.2633
2010-01-23,1522.95,1497.0333333333333,1523.7666666666667,1454.0,1515.0333333333333,1514.65,1495.79,23357.666666666668,3492103333333.3335,,6001.0,0.25293333333333334
2010-01-24,1521.8,1499.0666666666666,1518.6333333333334,1472.0,1510.0166666666667,1508.65,1497.69,18850.333333333336,2821486666666.667,,4666.0,0.24256666666666665
