Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,680.0,685.0,697.0,675.95,696.35,693.8,691.08,767166.0,53017700000000.0,,433411.0,0.565
2010-01-05,693.8,696.3,708.0,693.55,707.85,704.75,699.33,1120433.0,78354900000000.0,,706061.0,0.6302
2010-01-06,704.75,706.0,710.0,687.0,693.0,690.5,693.46,1029382.0,71383700000000.0,,590142.0,0.5733
2010-01-07,690.5,695.0,695.5,675.0,678.0,678.25,679.45,1031096.0,70057700000000.0,,572349.0,0.5551
2010-01-08,678.25,679.0,680.0,666.0,666.4,668.05,669.69,642789.0,43047100000000.0,,270355.0,0.4206
2010-01-09,674.85,675.0,680.3666666666667,662.75,665.6,665.8333333333333,668.52,854367.6666666666,57066933333333.336,,429347.6666666666,0.4754
2010-01-10,671.4499999999999,671.0,680.7333333333333,659.5,664.8,663.6166666666667,667.35,1065946.3333333333,71086766666666.67,,588340.3333333333,0.5302
2010-01-11,668.05,667.0,681.1,656.25,664.0,661.4,666.18,1277525.0,85106600000000.0,,747333.0,0.585
2010-01-12,661.4,672.0,703.8,672.0,693.0,693.8,691.85,2338854.0,161813000000000.0,,862266.0,0.3687
2010-01-13,693.8,696.95,720.0,688.45,718.1,715.6,708.89,2538808.0,179974000000000.0,,925003.0,0.3643
2010-01-14,715.6,719.8,752.7,708.2,736.0,741.1,734.86,4383044.0,322092000000000.0,,1916375.0,0.4372
2010-01-15,741.1,723.0,746.6,722.0,738.0,735.9,737.07,3302495.0,243416000000000.0,,1365522.0,0.4135
2010-01-16,739.3666666666667,727.0,748.1333333333333,724.7,741.6666666666666,739.7666666666667,738.94,2801613.6666666665,206834333333333.34,,1241312.0,0.4595666666666666
2010-01-17,737.6333333333333,731.0,749.6666666666667,727.4,745.3333333333334,743.6333333333333,740.81,2300732.3333333335,170252666666666.7,,1117102.0,0.5056333333333333
2010-01-18,735.9,735.0,751.2,730.1,749.0,747.5,742.68,1799851.0,133671000000000.0,,992892.0,0.5517
2010-01-19,747.5,755.85,755.85,730.1,741.5,738.95,738.77,922176.0,68127900000000.0,,417446.0,0.4527
2010-01-20,738.95,750.0,750.0,721.55,726.5,726.55,732.55,2344389.0,171739000000000.0,,916046.0,0.3907
